日期,總價值
2026/01/21,0.0
2026/01/22,0.0
2026/01/23,709795.5
2026/01/26,720157.0
2026/01/27,725970.0
2026/01/28,756266.5
2026/01/29,744300.5
2026/01/30,765839.5
2026/01/31,765839.5
2026/02/01,765839.5
2026/02/02,744396.0
2026/02/03,846190.0
2026/02/04,916701.0
2026/02/05,863661.0
2026/02/06,825653.0
2026/02/07,825653.0
2026/02/08,825653.0
2026/02/09,853484.5
2026/02/10,878853.0
2026/02/11,893697.55
2026/02/12,894023.35
2026/02/13,894023.35
2026/02/14,894023.35
2026/02/15,894023.35
2026/02/16,894023.35
2026/02/17,894023.35
2026/02/18,894023.35
2026/02/19,894023.35
2026/02/20,894023.35
2026/02/21,894023.35
2026/02/22,894023.35
2026/02/23,1003726.5
2026/02/24,1060203.9
2026/02/25,1061952.0
2026/02/26,1072975.0
2026/02/27,1078934.0
2026/02/28,1078934.0
2026/03/01,1078934.0
2026/03/02,1096221.0
2026/03/03,1064289.0
2026/03/04,982257.0
2026/03/05,1005762.0
2026/03/06,985286.5
2026/03/07,988627.0
2026/03/08,988627.0
2026/03/09,904447.0
2026/03/10,951896.5
2026/03/11,1020232.0
2026/03/12,1026640.0
2026/03/13,1074405.0
2026/03/14,1076774.0
2026/03/15,1076774.0
2026/03/16,1111775.0
2026/03/17,1138149.0
2026/03/18,1167508.5
2026/03/19,1169049.0
2026/03/20,1160489.5
2026/03/21,1160489.5
2026/03/22,1160489.5
2026/03/23,1095314.0
2026/03/24,1067553.0
2026/03/25,1147695.5
2026/03/26,1184734.5
2026/03/27,1221746.0
2026/03/28,1223075.5
2026/03/29,1223075.5
2026/03/30,1175315.0
