日期,總價值
2026/01/21,0.0
2026/01/22,0.0
2026/01/23,45713.55
2026/01/26,45713.55
2026/01/27,47380.64
2026/01/28,47803.78
2026/01/29,46302.23
2026/01/30,48527.13
2026/01/31,47527.04
2026/02/01,47527.04
2026/02/02,47751.2
2026/02/03,47068.14
2026/02/04,47510.43
2026/02/05,47098.2
2026/02/06,48292.14
2026/02/07,48350.43
2026/02/08,48350.43
2026/02/09,48350.43
2026/02/10,50177.27
2026/02/11,48960.03
2026/02/12,50678.58
2026/02/13,49918.59
2026/02/14,49488.97
2026/02/15,49489.41
2026/02/16,49489.41
2026/02/17,49489.41
2026/02/18,48517.7
2026/02/19,49031.36
2026/02/20,48893.93
2026/02/21,49629.9
2026/02/22,49629.9
2026/02/23,49629.9
2026/02/24,49067.93
2026/02/25,49296.33
2026/02/26,50800.96
2026/02/27,48771.06
2026/02/28,48418.67
2026/03/01,48418.27
2026/03/02,48418.27
2026/03/03,48794.55
2026/03/04,46998.98
2026/03/05,48093.75
2026/03/06,48108.4
2026/03/07,46893.09
2026/03/08,46892.92
2026/03/09,46892.92
2026/03/10,47872.87
2026/03/11,48132.9
2026/03/12,48399.08
2026/03/13,47421.6
2026/03/14,47391.93
2026/03/15,47391.93
2026/03/16,47391.93
2026/03/17,47928.08
2026/03/18,48351.72
2026/03/19,48222.68
2026/03/20,47963.35
2026/03/21,46678.77
2026/03/22,46678.77
2026/03/23,46681.94
2026/03/24,47238.44
2026/03/25,46661.71
2026/03/26,46632.02
2026/03/27,45185.85
2026/03/28,44306.9
2026/03/29,44306.9
2026/03/30,44306.9
