名稱,族群,公司名稱,最新報價,股數,平均成本,總占比,族群占比,總現金
資產狀況,,,,,,,,0.0
AAPL,手機,Apple,248.8000030517578,5.98,295.05,,,
AMZN,AI Infra,Amazon,199.33999633789062,2.36,211.79,,,
AVGO,AI chips,Broadcom,300.67999267578125,2.13,355.4,,,
COHR,光通,Coherent,243.47999572753906,2.75,272.47,,,
CRWD,資安,CrowdStrike,369.5799865722656,1.78,424.24,,,
GOOGL,AI Infra,Google,274.3399963378906,5.33,292.32,,,
LITE,光通,Lumentum,702.72998046875,1.0,749.99,,,
MSFT,AI Infra,Microsoft,356.7699890136719,1.18,422.93,,,
MU,記憶體,Micron,357.2200012207031,9.09,391.5,,,
NET,資安,Cloudflare,203.02000427246094,16.7,197.1,,,
NFLX,娛樂,Netflix,93.43000030517578,7.3,96.17,,,
NVDA,AI chips,Nvidia,167.52000427246094,22.81,188.69,,,
PLTR,AI application,Palantir,143.05999755859375,15.71,148.93,,,
QQQ,ETF,QQQ,562.5800170898438,34.81,540.85,,,
TQQQ,ETF,TQQQ,562.5800170898438,34.92,40.29,,,
TSLA,電動車,Tesla,361.8299865722656,9.45,344.95,,,
SIMO,公司配股,Siliconmotion,110.05999755859375,0,0.0,,,
